ID_CLIENTE,CANAL,PRECIO_ASIGNADO,ZONA,CLAS_VENTA,TIPO_FACT
145,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
146,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
147,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
148,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
149,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
150,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
151,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
152,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
153,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
154,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
155,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
156,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
157,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
158,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
159,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
160,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
161,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
162,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
163,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
164,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
165,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
166,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
167,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
168,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
169,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
170,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
171,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
172,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
173,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
174,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
175,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
176,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
177,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
178,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
179,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
180,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
181,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
182,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
183,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
184,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
185,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
186,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
187,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
