Date;Venta
09/10/2020;82097
10/10/2020;278431
12/10/2020;46543
13/10/2020;412444
14/10/2020;312675
15/10/2020;35863
16/10/2020;136512
17/10/2020;116769
19/10/2020;307527
20/10/2020;388161
21/10/2020;80657
22/10/2020;33210
23/10/2020;67075
24/10/2020;182711
26/10/2020;144660
27/10/2020;342051
28/10/2020;148705
29/10/2020;356505
30/10/2020;364260
31/10/2020;-5965
02/11/2020;370575
03/11/2020;8853
04/11/2020;97063
05/11/2020;41967
06/11/2020;49043
07/11/2020;165757
09/11/2020;6581
10/11/2020;460668
11/11/2020;172164
12/11/2020;63110
13/11/2020;164478
14/11/2020;181367
16/11/2020;122246
17/11/2020;237047
18/11/2020;514274
19/11/2020;31372
20/11/2020;46803
21/11/2020;164974
23/11/2020;91918
24/11/2020;189273
25/11/2020;20284
26/11/2020;39263
27/11/2020;260739
28/11/2020;430823
30/11/2020;109878
01/12/2020;408900
02/12/2020;55167
03/12/2020;7163
04/12/2020;117171
05/12/2020;91011
07/12/2020;202328
09/12/2020;175802
10/12/2020;219541
11/12/2020;27634
12/12/2020;195253
14/12/2020;98961
15/12/2020;93652
16/12/2020;100828
17/12/2020;-296
18/12/2020;190657
19/12/2020;163363
21/12/2020;142272
22/12/2020;44516
23/12/2020;244337
24/12/2020;169382
26/12/2020;217615
28/12/2020;93313
29/12/2020;8905
30/12/2020;11047
02/01/2021;129483
04/01/2021;543814
05/01/2021;124278
06/01/2021;482099
07/01/2021;24458
08/01/2021;156776
09/01/2021;198609
11/01/2021;207452
12/01/2021;306398
13/01/2021;275454
14/01/2021;42516
15/01/2021;138485
16/01/2021;189201
18/01/2021;977732
19/01/2021;197776
20/01/2021;631637
21/01/2021;39420
22/01/2021;109507
23/01/2021;240335
24/01/2021;424
25/01/2021;444444
26/01/2021;121037
27/01/2021;30324
28/01/2021;146208
29/01/2021;146173
30/01/2021;63056
31/01/2021;-156
02/02/2021;197739
03/02/2021;320917
04/02/2021;464273
05/02/2021;23347
06/02/2021;110542
08/02/2021;195187
09/02/2021;336133
10/02/2021;35653
11/02/2021;27814
12/02/2021;80161
13/02/2021;236659
15/02/2021;345531
16/02/2021;286418
17/02/2021;334004
18/02/2021;24162
19/02/2021;120924
20/02/2021;126679
22/02/2021;787189
23/02/2021;530856
24/02/2021;84194
25/02/2021;18786
26/02/2021;199039
27/02/2021;108063
02/03/2021;374434
03/03/2021;606872
04/03/2021;51480
05/03/2021;92478
06/03/2021;150900
08/03/2021;382135
09/03/2021;115654
10/03/2021;21117
11/03/2021;32236
12/03/2021;77982
13/03/2021;131271
15/03/2021;390326
16/03/2021;244763
17/03/2021;402177
18/03/2021;65504
19/03/2021;78872
20/03/2021;141017
22/03/2021;574306
23/03/2021;237834
24/03/2021;21718
25/03/2021;132395
26/03/2021;756175
27/03/2021;196108
29/03/2021;122984
30/03/2021;206
05/04/2021;388804
06/04/2021;108880
07/04/2021;30974
08/04/2021;44237
09/04/2021;88813
10/04/2021;134183
12/04/2021;459394
13/04/2021;234408
14/04/2021;461237
15/04/2021;26453
16/04/2021;55486
17/04/2021;174152
19/04/2021;881855
20/04/2021;96991
21/04/2021;13452
22/04/2021;14195
23/04/2021;223912
24/04/2021;144345
26/04/2021;446408
27/04/2021;378215
28/04/2021;566910
29/04/2021;168256
30/04/2021;322206
04/05/2021;420449
05/05/2021;206394
06/05/2021;21455
07/05/2021;81235
08/05/2021;166980
10/05/2021;155290
11/05/2021;239617
12/05/2021;404195
13/05/2021;21406
14/05/2021;58980
15/05/2021;257905
17/05/2021;331797
18/05/2021;104477
19/05/2021;2944
20/05/2021;21649
21/05/2021;98576
22/05/2021;165114
24/05/2021;646545
25/05/2021;173984
26/05/2021;445520
27/05/2021;97412
28/05/2021;252122
29/05/2021;142823
01/06/2021;369401
02/06/2021;202259
03/06/2021;26845
04/06/2021;83921
05/06/2021;182763
07/06/2021;438064
08/06/2021;247965
09/06/2021;366942
10/06/2021;82971
11/06/2021;82902
12/06/2021;97749
14/06/2021;710437
15/06/2021;154553
16/06/2021;9147
17/06/2021;74297
18/06/2021;55199
19/06/2021;118681
21/06/2021;526511
22/06/2021;337039
23/06/2021;852830
24/06/2021;29808
25/06/2021;122164
26/06/2021;121781
28/06/2021;298003
29/06/2021;114394
30/06/2021;34027
02/07/2021;68999
03/07/2021;103149
05/07/2021;138923
06/07/2021;247661
07/07/2021;301806
08/07/2021;35465
09/07/2021;76564
10/07/2021;134892
12/07/2021;302128
13/07/2021;144633
14/07/2021;41190
15/07/2021;12436
16/07/2021;174750
17/07/2021;230568
20/07/2021;176443
21/07/2021;331636
22/07/2021;14200
23/07/2021;241088
24/07/2021;178437
26/07/2021;389078
27/07/2021;176145
28/07/2021;83397
02/08/2021;504659
03/08/2021;181622
04/08/2021;384406
05/08/2021;22420
06/08/2021;104457
07/08/2021;171322
09/08/2021;595414
10/08/2021;106087
11/08/2021;110693
12/08/2021;22188
13/08/2021;64864
14/08/2021;119190
16/08/2021;467280
17/08/2021;182641
18/08/2021;669378
19/08/2021;24710
20/08/2021;79644
21/08/2021;160348
23/08/2021;466329
24/08/2021;229154
25/08/2021;160550
26/08/2021;30590
27/08/2021;130539
28/08/2021;205468
01/09/2021;754464
02/09/2021;17886
03/09/2021;97396
04/09/2021;220340
06/09/2021;375065
07/09/2021;323365
08/09/2021;16730
09/09/2021;101863
10/09/2021;514880
11/09/2021;330044
13/09/2021;35165
16/09/2021;753159
17/09/2021;98788
18/09/2021;236728
20/09/2021;373127
21/09/2021;110474
22/09/2021;22627
23/09/2021;154832
25/09/2021;202586
27/09/2021;336116
28/09/2021;418878
29/09/2021;51994
30/09/2021;-734
01/10/2021;46421
02/10/2021;106601
04/10/2021;581558
05/10/2021;52897
06/10/2021;304495
07/10/2021;18464
08/10/2021;43724
09/10/2021;287963
11/10/2021;521694
12/10/2021;250239
13/10/2021;389538
14/10/2021;15842
15/10/2021;145873
16/10/2021;217466
18/10/2021;527170
19/10/2021;250922
20/10/2021;7874
21/10/2021;20963
22/10/2021;130386
23/10/2021;400672
25/10/2021;150457
26/10/2021;168676
27/10/2021;230635
