Date;Venta
08/09/2020;20699.84
09/09/2020;78419.22
10/09/2020;193208.23
11/09/2020;166749.29
12/09/2020;3466.57
16/09/2020;685027.44
17/09/2020;320764
18/09/2020;177484.2
19/09/2020;84884.56
21/09/2020;23099.17
22/09/2020;282679.88
23/09/2020;178236.64
25/09/2020;84850.43
26/09/2020;161551.85
28/09/2020;95492.71
29/09/2020;262093.81
30/09/2020;288186.75
02/10/2020;73004.01
03/10/2020;55361.78
05/10/2020;465799.68
06/10/2020;77479.4
07/10/2020;122555.54
08/10/2020;26455.44
09/10/2020;82096.95
10/10/2020;278430.58
12/10/2020;46542.65
13/10/2020;412444.46
14/10/2020;312675.38
15/10/2020;35862.63
16/10/2020;136511.93
17/10/2020;116769.22
19/10/2020;307527.27
20/10/2020;388161.42
21/10/2020;80656.54
22/10/2020;33209.85
23/10/2020;67075.28
24/10/2020;182711.41
26/10/2020;144659.82
27/10/2020;342050.83
28/10/2020;148704.6
29/10/2020;356505.19
30/10/2020;364260.34
31/10/2020;-5965.44
02/11/2020;370575.22
03/11/2020;8852.82
04/11/2020;97062.67
05/11/2020;41966.81
06/11/2020;49042.61
07/11/2020;165756.99
09/11/2020;6581.12
10/11/2020;460668.06
11/11/2020;172164.05
12/11/2020;63110.03
13/11/2020;164478.03
14/11/2020;181367.16
16/11/2020;122246.29
17/11/2020;237046.84
18/11/2020;514273.86
19/11/2020;31372.03
20/11/2020;46802.52
21/11/2020;164974.46
23/11/2020;91918.27
24/11/2020;189272.9
25/11/2020;20284.48
26/11/2020;39263.07
27/11/2020;260739.46
28/11/2020;430823.46
30/11/2020;109877.82
01/12/2020;408899.83
02/12/2020;55167.4
03/12/2020;7162.81
04/12/2020;117171.2
05/12/2020;91011.45
07/12/2020;202328.48
09/12/2020;175801.85
10/12/2020;219541.08
11/12/2020;27633.5
12/12/2020;195252.96
14/12/2020;98960.58
15/12/2020;93652.06
16/12/2020;100827.75
17/12/2020;-296.04
18/12/2020;190657.27
19/12/2020;163362.75
21/12/2020;142271.95
22/12/2020;44515.97
23/12/2020;244336.82
24/12/2020;169381.74
26/12/2020;217615
28/12/2020;93312.64
29/12/2020;8905.3
30/12/2020;11047.21
02/01/2021;129482.82
04/01/2021;543813.81
05/01/2021;124277.9
06/01/2021;482099.48
07/01/2021;24458.23
08/01/2021;156776.42
09/01/2021;198608.63
11/01/2021;207452.32
12/01/2021;306397.95
13/01/2021;275454.48
14/01/2021;42515.76
15/01/2021;138485.19
16/01/2021;189200.63
18/01/2021;977732.11
19/01/2021;197775.54
20/01/2021;631637.46
21/01/2021;39420.04
22/01/2021;109506.98
23/01/2021;240334.59
24/01/2021;423.91
25/01/2021;444444.07
26/01/2021;121036.59
27/01/2021;30324
28/01/2021;146208.19
29/01/2021;146173.2
30/01/2021;63055.66
31/01/2021;-156.18
02/02/2021;197739.46
03/02/2021;320917.18
04/02/2021;464272.61
05/02/2021;23347.28
06/02/2021;110542.45
08/02/2021;195186.52
09/02/2021;336132.69
10/02/2021;35652.56
11/02/2021;27813.5
12/02/2021;80161.27
13/02/2021;236658.57
15/02/2021;345531.24
16/02/2021;286417.71
17/02/2021;334004.31
18/02/2021;24161.86
19/02/2021;120924.46
20/02/2021;126678.7
22/02/2021;787188.6
23/02/2021;530855.7
24/02/2021;84194.13
25/02/2021;18786.03
26/02/2021;199038.73
27/02/2021;108062.9
02/03/2021;374434.37
03/03/2021;606872.4
04/03/2021;51479.6
05/03/2021;92477.59
06/03/2021;150900.39
08/03/2021;382134.85
09/03/2021;115654.09
10/03/2021;21116.74
11/03/2021;32236.34
12/03/2021;77982.13
13/03/2021;131271.47
15/03/2021;390326.41
16/03/2021;244763.43
17/03/2021;402176.71
18/03/2021;65503.53
19/03/2021;78871.62
20/03/2021;141016.71
22/03/2021;574305.54
23/03/2021;237834.15
24/03/2021;21717.79
25/03/2021;132394.57
26/03/2021;756174.51
27/03/2021;196107.97
29/03/2021;122983.59
30/03/2021;206.12
05/04/2021;388803.99
06/04/2021;108879.81
07/04/2021;30974.08
08/04/2021;44236.74
09/04/2021;88813.22
10/04/2021;134183.35
12/04/2021;459393.75
13/04/2021;234408.16
14/04/2021;461236.97
15/04/2021;26452.74
16/04/2021;55485.9
17/04/2021;174151.55
19/04/2021;881855.26
20/04/2021;96990.94
21/04/2021;13452.48
22/04/2021;14195.27
23/04/2021;223911.66
24/04/2021;144345.28
26/04/2021;446407.6
27/04/2021;378215.09
28/04/2021;566910.3
29/04/2021;168255.82
30/04/2021;322205.66
04/05/2021;420449.46
05/05/2021;206394.11
06/05/2021;21455.14
07/05/2021;81235.23
08/05/2021;166979.5
10/05/2021;155290.09
11/05/2021;239616.97
12/05/2021;404194.65
13/05/2021;21406.08
14/05/2021;58980.39
15/05/2021;257905.24
17/05/2021;331796.67
18/05/2021;104477
19/05/2021;2944.45
20/05/2021;21648.68
21/05/2021;98575.56
22/05/2021;165113.81
24/05/2021;646545.38
25/05/2021;173983.73
26/05/2021;445519.63
27/05/2021;97412.14
28/05/2021;252122.01
29/05/2021;142823.24
01/06/2021;369401.18
02/06/2021;202258.96
03/06/2021;26845.23
04/06/2021;83920.98
05/06/2021;182762.87
07/06/2021;438063.91
08/06/2021;247965.47
09/06/2021;366942.14
10/06/2021;82971.15
11/06/2021;82902.11
12/06/2021;97749.03
14/06/2021;710437.45
15/06/2021;154553.24
16/06/2021;9146.78
17/06/2021;74296.91
18/06/2021;55198.85
19/06/2021;118680.68
21/06/2021;526511.45
22/06/2021;337039.05
23/06/2021;852830.04
24/06/2021;29808.29
25/06/2021;122164.45
26/06/2021;121780.91
28/06/2021;298003.39
29/06/2021;114393.99
30/06/2021;34026.85
02/07/2021;68998.71
03/07/2021;103149.48
05/07/2021;138923.23
06/07/2021;247661.13
07/07/2021;301806.26
08/07/2021;35464.72
09/07/2021;76563.58
10/07/2021;134892.26
12/07/2021;302128.37
13/07/2021;144633.32
14/07/2021;41190.4
15/07/2021;12436.39
16/07/2021;174749.61
17/07/2021;230568.29
20/07/2021;176443.46
21/07/2021;331635.69
22/07/2021;14200.44
23/07/2021;241088.39
24/07/2021;178437.28
26/07/2021;389078
27/07/2021;176144.9
28/07/2021;83396.64
02/08/2021;504659.36
03/08/2021;181622.24
04/08/2021;384405.91
05/08/2021;22419.93
06/08/2021;104456.61
07/08/2021;171322.1
09/08/2021;595414.25
10/08/2021;106087.03
11/08/2021;110693.06
12/08/2021;22188.29
13/08/2021;64863.76
14/08/2021;119190.31
16/08/2021;467279.84
17/08/2021;182640.74
18/08/2021;669377.52
19/08/2021;24709.5
20/08/2021;79643.63
21/08/2021;160347.84
23/08/2021;466329.49
24/08/2021;229154.05
25/08/2021;160549.67
26/08/2021;30590.11
27/08/2021;130538.64
28/08/2021;205468.3
01/09/2021;754463.87
02/09/2021;17886.36
03/09/2021;97395.71
04/09/2021;220340.26
06/09/2021;375065.16
07/09/2021;323364.8
08/09/2021;16730.09
09/09/2021;101862.52
10/09/2021;514879.64
11/09/2021;330044.07
13/09/2021;35164.81
16/09/2021;753158.6
17/09/2021;98788.21
18/09/2021;236728.26
20/09/2021;373127.24
21/09/2021;110474.24
22/09/2021;22626.56
23/09/2021;154831.68
25/09/2021;202586.25
27/09/2021;336115.99
28/09/2021;418878.41
29/09/2021;51994.07
30/09/2021;-734.29
01/10/2021;46421.45
02/10/2021;106600.55
04/10/2021;581558.23
